# column 1: Target 
# column 2: M1: mean residual [pixel] 
# column 3: M1: mean residual [A], calculated from mean residual [pixel] * dispersion (= 2.6 [A/pixel]) 
# column 4: M2: mean residual [pixel] 
# column 5: M2: mean residual [A], calculated from mean residual [pixel] * dispersion (= 2.6 [A/pixel]) 
# 
Mask            M1        M2         M3          M4
fnx01q1      0.275209   0.715543   0.285171   0.741445 
fnx01q2      0.299330   0.778258   0.323799   0.841877 
fnx01q3      0.229495   0.596687   0.280106   0.728276 
fnx01q4      0.265331   0.689861   0.300026   0.780068 
fnx02q1      0.287720   0.748072   0.343078   0.892003 
fnx02q2      0.260768   0.677997   0.352894   0.917524 
fnx02q3      0.315721   0.820875   0.333594   0.867344 
fnx02q4      0.255862   0.665241   0.337995   0.878787 
fnx03q1      0.417382   1.085193   0.461005   1.198613 
fnx03q2      0.296019   0.769649   0.312391   0.812217 
fnx03q3      0.301028   0.782673   0.290879   0.756285 
fnx03q4      0.252324   0.656042   0.286260   0.744276 
fnx04q1      0.256365   0.666549   0.396709   1.031443 
fnx04q2      0.251590   0.654134   0.316135   0.821951 
fnx04q3      0.256787   0.667646   0.264732   0.688303 
fnx04q4      0.254768   0.662397   0.313886   0.816104 
fnx05q1      0.304002   0.790405   0.359606   0.934976 
fnx05q2      0.350079   0.910205   0.379913   0.987774 
fnx05q3      0.352076   0.915398   0.304371   0.791365 
fnx05q4      0.268829   0.698955   0.291758   0.758571 
fnx06q1      0.319625   0.831025   0.351359   0.913533 
fnx06q2      0.275143   0.715372   0.341049   0.886727 
fnx06q3      0.249400   0.648440   0.437106   1.136476 
fnx06q4      0.247151   0.642593   0.283117   0.736104 
fnx07q1      0.307539   0.799601   0.352662   0.916921 
fnx07q2      0.266283   0.692336   0.363409   0.944863 
fnx07q3      0.291575   0.758095   0.308732   0.802703 
fnx07q4      0.270301   0.702783   0.366055   0.951743 
fnx08q1      0.295356   0.767926   0.449544   1.168814 
fnx08q2      0.266979   0.694145   0.295304   0.767790 
fnx08q3      0.311871   0.810865   0.278190   0.723294 
fnx08q4      0.303904   0.790150   0.321224   0.835182 
fnx09q1      0.262777   0.683220   0.304467   0.791614 
fnx09q2      0.270384   0.702998   0.267614   0.695796 
fnx09q3      0.249771   0.649405   0.350100   0.910260 
fnx09q4      0.266259   0.692273   0.305504   0.794310 
fnx10q1      0.289923   0.753800   0.374428   0.973513 
fnx10q2      0.249693   0.649202   0.275988   0.717569 
fnx10q3      0.233828   0.607953   0.264779   0.688425 
fnx10q4      0.246547   0.641022   0.406584   1.057118 
fnx11q1    0.374134   0.972748   0.441727   1.148490 
#fnx11q1-2    0.300875   0.782275   0.320401   0.833043 
fnx11q2    0.271015   0.704639   0.366232   0.952203 
#fnx11q2-2    0.265952   0.691475   0.327347   0.851102 
fnx11q3    0.271367   0.705554   0.260671   0.677745 
#fnx11q3-2    0.258263   0.671484   0.256877   0.667880 
fnx11q4    0.270423   0.703100   0.292728   0.761093 
#fnx11q4-2    0.262614   0.682796   0.315643   0.820672 
fnx12q1      0.336363   0.874544   0.399076   1.037598 
fnx12q2      0.312427   0.812310   0.504981   1.312951 
fnx12q3      0.366550   0.953030   0.410563   1.067464 
fnx12q4      0.321633   0.836246   0.437204   1.136730 
fnx13q1    0.334392   0.869419   0.443729   1.153695 
#fnx13q1-2    0.347966   0.904712   0.572463   1.488404 
#fnx13q1-3    0.312237   0.811816   0.473290   1.230554 
fnx13q2    0.332746   0.865140   0.319179   0.829865 
#fnx13q2-2    0.247518   0.643547   0.261191   0.679097 
#fnx13q2-3    0.293052   0.761935   0.256962   0.668101 
fnx13q3    0.309282   0.804133   0.315700   0.820820 
