# column 1: Target 
# column 2: M1: mean residual [pixel] 
# column 3: M1: mean residual [A], calculated from mean residual [pixel] * dispersion (= 2.6 [A/pixel]) 
# column 4: M2: mean residual [pixel] 
# column 5: M2: mean residual [A], calculated from mean residual [pixel] * dispersion (= 2.6 [A/pixel]) 
# 
Mask            M1        M2         M3          M4
#fnx13q3-2    0.280067   0.728174   0.256758   0.667571 
#fnx13q3-3    0.302001   0.785203   0.372824   0.969342 
fnx13q4    0.344916   0.896782   0.377347   0.981102 
#fnx13q4-2    0.278173   0.723250   0.300716   0.781862 
#fnx13q4-3    0.277493   0.721482   0.343864   0.894046 
fnx14q1      0.341019   0.886649   0.445931   1.159421 
fnx14q2      0.396851   1.031813   0.406170   1.056042 
fnx14q3      0.296265   0.770289   0.323127   0.840130 
fnx14q4      0.308131   0.801141   0.342959   0.891693 
#fnx15q1      0.395473   1.028230   0.435108   1.131281 
fnx15q1      0.290182   0.754473   0.357887   0.930506 
#fnx15q2      0.384371   0.999365   0.504567   1.311874 
fnx15q2      0.289828   0.753553   0.398975   1.037335 
#fnx15q3      0.375507   0.976318   0.360972   0.938527 
fnx15q3      0.302426   0.786308   0.325549   0.846427 
#fnx15q4      0.405986   1.055564   0.501057   1.302748 
fnx15q4      0.284291   0.739157   0.445549   1.158427 
fnx16q1      0.303012   0.787831   0.275845   0.717197 
fnx16q2      0.354625   0.922025   0.343764   0.893786 
fnx16q3      0.310575   0.807495   0.290704   0.755830 
fnx16q4      0.275137   0.715356   0.271437   0.705736 
fnx17q1      0.306109   0.795883   0.416181   1.082071 
fnx17q2      0.282213   0.733754   0.361482   0.939853 
fnx17q3      0.325681   0.846771   0.319361   0.830339 
fnx17q4      0.284422   0.739497   0.286786   0.745644 
fnx18q1      0.388323   1.009640   0.511347   1.329502 
fnx18q2      0.296754   0.771560   0.327548   0.851625 
fnx18q3      0.330681   0.859771   0.334887   0.870706 
fnx18q4      0.311436   0.809734   0.438890   1.141114 
fnx19q1      0.374214   0.972956   0.423030   1.099878 
fnx19q2      0.350086   0.910224   0.383419   0.996889 
fnx19q3      0.362343   0.942092   0.356056   0.925746 
fnx19q4      0.355533   0.924386   0.383041   0.995907 
fnx20q1      0.333180   0.866268   0.420218   1.092567 
fnx20q2      0.309461   0.804599   0.379206   0.985936 
fnx20q3      0.334677   0.870160   0.420997   1.094592 
fnx20q4      0.334201   0.868923   0.373408   0.970861 
fnx21q1      0.472016   1.227242   0.546113   1.419894 
fnx21q2      0.501133   1.302946   0.728543   1.894212 
fnx21q3      0.458773   1.192810   0.561013   1.458634 
fnx21q4      0.473279   1.230525   0.574849   1.494607 
fnx22q1    0.334652   0.870095   0.555917   1.445384 
#fnx22q1-2    0.386989   1.006171   0.575605   1.496573 
fnx22q2    0.354853   0.922618   0.346424   0.900702 
#fnx22q2-2    0.367698   0.956015   0.436944   1.136054 
fnx22q3    0.347430   0.903318   0.432224   1.123782 
#fnx22q3-2    0.389154   1.011800   0.483096   1.256050 
fnx22q4    0.308268   0.801497   0.308125   0.801125 
#fnx22q4-2    0.384014   0.998436   0.421673   1.096350 
fnx23q1      0.282001   0.733203   0.535453   1.392178 
fnx23q2      0.306012   0.795631   0.326836   0.849774 
fnx23q3      0.286568   0.745077   0.421842   1.096789 
fnx23q4      0.289765   0.753389   0.354281   0.921131 
fnx24q1    0.347424   0.903302   0.000000   0.000000 
#fnx24q1-2    0.390051   1.014133   0.000000   0.000000 
fnx24q2    0.307791   0.800257   0.286475   0.744835 
#fnx24q2-2    0.343157   0.892208   0.378557   0.984248 
fnx24q3    0.323817   0.841924   0.349306   0.908196 
#fnx24q3-2    0.385888   1.003309   0.390405   1.015053 
fnx24q4    0.404431   1.051521   0.425366   1.105952 
#fnx24q4-2    0.408829   1.062955   0.484664   1.260126 
fnx25q1      0.357357   0.929128   0.470154   1.222400 
fnx25q2      0.334948   0.870865   0.510606   1.327576 
fnx25q3      0.347678   0.903963   0.347718   0.904067 
fnx25q4      0.388825   1.010945   0.000000   0.000000 
